,abb,name,lat,long,coal,oil,gas,nuclear,hydro,bio,wind,solar,geo,other
879,CA,Drop 4,32.705341,-115.219067,0,0,0,0,3283,0,0,0,0,0
880,CA,Drop 5,32.673097,-115.392026,0,0,0,0,11264,0,0,0,0,0
881,CA,Drum 1,39.256873,-120.767437,0,0,0,0,85904,0,0,0,0,0
882,CA,Drum 2,39.257388,-120.767046,0,0,0,0,231243,0,0,0,0,0
883,CA,DSH (CA) - Coalinga State Hospital,36.13726,-120.218453,0,0,0,0,0,0,0,4901,0,0
884,CA,DTE Stockton,37.943633,-121.330433,0,0,769.596,0,0,370425.4,0,0,0,0
885,CA,Dulles,34.030119,-117.517753,0,0,0,0,0,0,0,3202,0,0
886,CA,Dutch Flat,39.216985,-120.835587,0,0,0,0,69559,0,0,0,0,0
887,CA,Dutch Flat 2,39.2184,-120.8352,0,0,0,0,68557,0,0,0,0,0
888,CA,Dutch Wind Energy,33.8942,-116.5603,0,0,0,0,0,0,20903,0,0,0
889,CA,Dyer Road,37.7392,-121.4322,,,,,,,,,,
890,CA,Dynegy Oakland Power Plant,37.79675,-122.28185,0,3852,0,0,0,0,0,0,0,0
891,CA,E F Oxnard Energy Facility,34.1958,-119.1664,0,0,157062,0,0,0,0,0,0,0
892,CA,E&B Resources,35.534584,-119.060029,0,0,0,0,0,0,0,2292,0,0
893,CA,EAFB - North Base,34.9325,-117.907222,0,0,0,0,0,0,0,2535,0,0
894,CA,EAFB - South Base,34.917222,-117.900278,0,0,0,0,0,0,0,2453,0,0
895,CA,East Highline,32.699451,-115.28245,0,0,0,0,4047,0,0,0,0,0
896,CA,East Portal Generator,34.2619,-118.6242,0,0,0,0,5559,0,0,0,0,0
897,CA,East Winds Project,33.890913,-116.541515,0,0,0,0,0,0,7425,0,0,0
898,CA,EDF Renewable Windfarm V Inc,38.1167,-121.8333,0,0,0,0,0,0,3484,0,0,0
899,CA,Edom Hills Project 1 LLC,33.881667,-116.460278,0,0,0,0,0,0,37618,0,0,0
900,CA,EDPR CA Solar Park VI LLC (CA),36.62543,-120.378926,,,,,,,,,,
901,CA,Edward C Hyatt,39.542985,-121.492188,0,0,0,0,1291387,0,0,0,0,0
902,CA,Edwards Air Force Base,34.9077,-117.9206,0,0,0,0,0,0,0,2240,0,0
903,CA,El Cajon,32.7958,-116.9722,,,,,,,,,,
904,CA,El Cajon Energy Center,32.796106,-116.972073,0,0,16736,0,0,0,0,0,0,0
905,CA,El Cajon Energy Storage,32.8115,-117.050546,0,0,0,0,0,0,0,0,0,-1164
906,CA,El Centro,32.802222,-115.54,0,0,753622,0,0,0,0,0,0,-3159
907,CA,El Dorado,38.793574,-120.619152,0,0,0,0,59185,0,0,0,0,0
908,CA,El Nido Facility,37.1867,-120.4903,0,0,74.988,0,0,63268.012,0,0,0,0
909,CA,El Segundo,33.910556,-118.425,0,0,1054778,0,0,0,0,0,0,0
910,CA,El Segundo Cogen,33.9058,-118.4031,0,0,1260621.973,0,0,0,0,0,0,4703.027
911,CA,ELACC Photovoltaic Power Facility,34.040278,-118.148056,,,,,,,,,,
912,CA,Eland 1 Solar Farm,35.2237,-117.977,,,,,,,,,,
913,CA,Eland 2 Solar Farm,35.2167,-117.977,,,,,,,,,,
914,CA,Electra,38.330985,-120.669901,0,0,0,0,316535,0,0,0,0,0
915,CA,Elevation Solar C,34.730263,-118.30425,0,0,0,0,0,0,0,115937,0,0
916,CA,Elk Hills Cogen,35.479146,-119.737464,0,0,0,0,0,0,0,0,0,0
917,CA,Elk Hills Power,35.280318,-119.470707,0,0,3797551,0,0,0,0,0,0,0
918,CA,Elkhorn Battery Energy Storage System,36.808039,-121.781788,,,,,,,,,,
919,CA,Ellwood,34.431419,-119.900055,0,0,6212,0,0,0,0,0,0,0
920,CA,Elmore Company,33.1777,-115.6033,0,0,0,0,0,0,0,0,308650,0
921,CA,Encina Water Pollution Control,33.1165,-117.3215,0,0,1076.525,0,0,13911.475,0,0,0,0
